brand,model,avg_price_m,export_demand,value_score
Hyundai,Avante,9.327272727272726,0.7561626794258374,0.08107007284292604
Ssangyong,Torres,13.43867924528302,0.9488349056603774,0.0706047736047736
Renault Korea,QM6,12.605263157894736,0.8877157894736842,0.07042421711899792
Kia,Sportage,14.362068965517242,1.0000443349753694,0.06963093808952152
Chevrolet,Trailblazer,13.577083333333334,0.9050677083333333,0.06666142396808347
Hyundai,Sonata,12.755045871559632,0.8327614678899082,0.0652887865928217
Hyundai,Tucson,15.016742081447964,0.9716425339366516,0.06470395034200138
Kia,Carnival,17.840291262135924,1.1361553398058253,0.06368479769257979
Kia,K5,13.149771689497717,0.8348447488584474,0.06348739495798318
Kia,Sorento,18.25360824742268,1.0587061855670103,0.05799983056590986
Hyundai,Santa Fe,19.149769585253456,1.0477880184331798,0.05471543737215739
Genesis,G80,25.797260273972604,1.1552465753424657,0.04478175446049277
